診療項目代碼,健保支付點數,生效起日,生效迄日,英文項目名稱,中文項目名稱,支付規定
05403C,169,20221201,29101231,,精神復健機構(住宿型機構)夜間之復健治療（天）,"(治療)05403C - 精神復健機構(住宿型機構)夜間之復健治療（天） 審查原則:
1.申報條件：需符合治療適應症, 治療必要性。
2.應檢附文件：治療計畫, 療效評估。
3.限制條件：療程次數, 治療間隔, 療效評估。
(114/1/1)"
05404C,1656,20140901,29101231,,居家治療醫師診治費（次）,"(治療)05404C - 居家治療醫師診治費（次） 審查原則:
1.申報條件：需符合治療適應症, 治療必要性。
2.應檢附文件：治療計畫, 療效評估。
3.限制條件：療程次數, 治療間隔, 療效評估。
(114/1/1)"
05405C,960,20140901,29101231,,居家治療醫師診治費-同一醫師，應同一承辦居家治療業務之醫療機構之請，當日診治個案數在五個以上者，自第五個個案起其診治費依本項申報。,"(治療)05405C - 居家治療醫師診治費-同一醫師，應同一承辦居家治療業務之醫療機構之請，當日診治個案數在五個以上者，自第五個個案起其診治費依本項申報。 審查原則:
1.申報條件：需符合治療適應症, 治療必要性。
2.應檢附文件：治療計畫, 療效評估。
3.限制條件：療程次數, 治療間隔, 療效評估。
(114/1/1)"
05406C,775,20140901,29101231,,居家治療其他專業人員處置費（次）,"(治療)05406C - 居家治療其他專業人員處置費（次） 審查原則:
1.申報條件：需符合治療適應症, 治療必要性。
2.應檢附文件：治療計畫, 療效評估。
3.限制條件：療程次數, 治療間隔, 療效評估。
(114/1/1)"
6,100,20220701,29101231,,第六次兒童衛教指導費(可搭配第六次兒童預防保健申報),null
06001C,15,20120101,29101231,pH,酸鹼度反應,null
06002C,15,20120101,29101231,Sp.gr (specific gravity),比重檢驗,"(檢查)06002C - 比重檢驗 審查原則：(113/1/1)
1.需符合檢查適應症，並有明確臨床需求。
2.應檢附檢查申請單及檢查報告。
3.重複檢查需間隔適當時間，並有明確臨床必要性說明。
4.檢查結果應詳細記錄於病歷。"
06003C,15,20120101,29101231,Urine protein,尿蛋白,null
06004C,15,20120101,29101231,Urine sugar,尿糖,null
06005C,15,20120101,29101231,Urine urobilinogen,尿膽素原,null
06006C,15,20120101,29101231,Urine bilirubin,尿膽紅素,null
06007C,15,20120101,29101231,Ketone body,尿酮體,null
06008C,15,19950301,29101231,Benedict reaction,班尼迪克特反應,null
06009C,25,20120101,29101231,Urine Sediments,尿沉渣,依據「全民健康保險醫療服務給付項目及支付標準」第二部第二章第六節第一項，本項為尿液沉渣顯微鏡檢查。通常包含於「尿液一般檢查(06012C)」內，若與尿液一般檢查同時執行，應申報 06012C。若單獨執行本項，需有明確理由記錄於病歷。
06010C,25,19950301,29101231,Bence Jones protein,本周氏蛋白試驗,null
06012C,75,19950301,29101231,General urine examination,尿一般檢查（包括蛋白、糖、尿膽元、膽紅素、尿沈渣、比重、顏色、混濁度、白血球酯脢、潛血、酸鹼度及酮體）,"(檢查)06012C - 尿一般檢查（包括蛋白、糖、尿膽元、膽紅素、尿沈渣、比重、顏色、混濁度、白血球酯脢、潛血、酸鹼度及酮體） 審查原則：(113/1/1)
1.需符合檢查適應症，並有明確臨床需求。
2.應檢附檢查申請單及檢查報告。
3.重複檢查需間隔適當時間，並有明確臨床必要性說明。
4.檢查結果應詳細記錄於病歷。"
06013C,75,19950301,29101231,Urine biochemistry examination,尿生化檢查（包括蛋白、糖、尿膽元、膽紅素、比重、顏色、混濁度、酸鹼度、白血球酯脢及酮體）,"(檢查)06013C - 尿生化檢查（包括蛋白、糖、尿膽元、膽紅素、比重、顏色、混濁度、酸鹼度、白血球酯脢及酮體） 審查原則：(113/1/1)
1.需符合檢查適應症，並有明確臨床需求。
2.應檢附檢查申請單及檢查報告。
3.重複檢查需間隔適當時間，並有明確臨床必要性說明。
4.檢查結果應詳細記錄於病歷。"
06015C,15,20120101,29101231,Nitrite,亞硝酸鹽檢驗,"(檢查)06015C - 亞硝酸鹽檢驗 審查原則：(113/1/1)
1.需符合檢查適應症，並有明確臨床需求。
2.應檢附檢查申請單及檢查報告。
3.重複檢查需間隔適當時間，並有明確臨床必要性說明。
4.檢查結果應詳細記錄於病歷。"
06504C,70,19950301,29101231,Pregnancy test -Latex agglutination,懷孕試驗－乳膠凝集法,依據「全民健康保險醫療服務給付項目及支付標準」，本項為懷孕試驗。申報時需於病歷載明臨床適應症，例如：疑似懷孕、異常陰道出血、或為執行特定治療或檢查前之必要評估。申報時應附檢驗報告。
06505C,100,19950301,29101231,Pregnancy test -EIA,懷孕試驗－酵素免疫法,依據「全民健康保險醫療服務給付項目及支付標準」，本項為懷孕試驗。申報時需於病歷載明臨床適應症，例如：疑似懷孕、異常陰道出血、或為執行特定治療或檢查前之必要評估。本法(EIA)與乳膠凝集法(Latex)僅能擇一申報。
06510C,50,20120101,29101231,Paraquet (qualitative) test,巴拉刈定性檢驗,"(檢查)06510C - 巴拉刈定性檢驗 審查原則：(113/1/1)
1.需符合檢查適應症，並有明確臨床需求。
2.應檢附檢查申請單及檢查報告。
3.重複檢查需間隔適當時間，並有明確臨床必要性說明。
4.檢查結果應詳細記錄於病歷。"
06511C,120,20120101,29101231,Urine Sugar  (4 timed specimens),四次尿糖,null
7,100,20220701,29101231,,第七次兒童衛教指導費(可搭配第七次兒童預防保健申報),null
07001C,20,20120101,29101231,Occult blood(chemical method),糞便潛血化學法,null
07002C,20,19950301,29101231,Stool bilirubin,糞便中膽紅素,null
07003C,20,20120101,29101231,Amoeba (direct smear),阿米巴檢驗 (直接法),"(檢查)07003C - 阿米巴檢驗 (直接法) 審查原則：(113/1/1)
1.需符合檢查適應症，並有明確臨床需求。
2.應檢附檢查申請單及檢查報告。
3.重複檢查需間隔適當時間，並有明確臨床必要性說明。
4.檢查結果應詳細記錄於病歷。"
07004C,20,19950301,29101231,Starch stain,澱粉質染色,null
07005C,20,19950301,29101231,Neutral fat stain,中性脂肪染色,null
07006C,20,19950301,29101231,Fatty acid stain,脂肪酸染色,null
07007C,20,19950301,29101231,PH,酸鹼值,null
07008C,20,20040701,29101231,Stool urobilinogen,糞便中尿膽素原,null
07009C,75,19950301,29101231,Stool routine,糞便一般檢查（包括外觀、蟲卵、潛血反應、硬度、顏色、消化能力、紅、白血球、粘液等）,"(檢查)07009C - 糞便一般檢查（包括外觀、蟲卵、潛血反應、硬度、顏色、消化能力、紅、白血球、粘液等） 審查原則：(113/1/1)
1.需符合檢查適應症，並有明確臨床需求。
2.應檢附檢查申請單及檢查報告。
3.重複檢查需間隔適當時間，並有明確臨床必要性說明。
4.檢查結果應詳細記錄於病歷。"
07011C,25,19950301,29101231,Parasite ova- direct smear,寄生蟲卵－直接抹片檢查,依據「全民健康保險醫療服務給付項目及支付標準」，本項為糞便中寄生蟲卵的直接塗抹鏡檢。通常包含於「糞便一般檢查(07009C)」內，若同時執行應申報 07009C。
07012C,50,20040701,29101231,Parasite ova-conc. method of ova,寄生蟲卵－濃縮法,null
07013C,150,19950301,29101231,Parasite ova-count/gram,寄生蟲卵－計數法,null
07015C,35,19950301,29101231,Reducing substances,還原物質測定,null
07016C,25,20120101,29101231,Perianal swab for pinwarm,蟯蟲膠片,null
07018C,25,20120101,29101231,Stool WBC,糞便白血球檢查,"(檢查)07018C - 糞便白血球檢查 審查原則：(113/1/1)
1.需符合檢查適應症，並有明確臨床需求。
2.應檢附檢查申請單及檢查報告。
3.重複檢查需間隔適當時間，並有明確臨床必要性說明。
4.檢查結果應詳細記錄於病歷。"
08001C,20,19950301,29101231,R.B.C,紅血球計數,依據「全民健康保險醫療服務給付項目及支付標準」，本項為紅血球計數。通常包含於「全套血液檢查(CBC)」中，若同時執行應申報 CBC 相關代碼。單獨申報需於病歷註明理由。
08002C,20,19950301,29101231,W.B.C,白血球計數,依據「全民健康保險醫療服務給付項目及支付標準」，本項為白血球計數。通常包含於「全套血液檢查(CBC)」中，若同時執行應申報 CBC 相關代碼。單獨申報需於病歷註明理由。
08003C,20,19950301,29101231,Hemoglobin (Hb),血色素檢查,依據「全民健康保險醫療服務給付項目及支付標準」，本項為血色素檢查。通常包含於「全套血液檢查(CBC)」中，若同時執行應申報 CBC 相關代碼。單獨申報需於病歷註明理由，例如貧血追蹤。
08004C,20,19950301,29101231,Hematocrite (Hct),血球比容值測定,依據「全民健康保險醫療服務給付項目及支付標準」，本項為血球比容值測定。通常包含於「全套血液檢查(CBC)」中，若同時執行應申報 CBC 相關代碼。單獨申報需於病歷註明理由。
08005C,30,19950301,29101231,E.S.R.(Erythrocyte sedimentation rate),紅血球沈降速度測定,null
08006C,40,19950301,29101231,Platelet count,血小板計數,依據「全民健康保險醫療服務給付項目及支付標準」，本項為血小板計數。通常包含於「全套血液檢查(CBC)」中，若同時執行應申報 CBC 相關代碼。單獨申報常用於評估凝血功能或追蹤特定血液疾病。
08007C,50,19950301,29101231,Parasite (malaria or filaria),血中寄生蟲檢查,"(檢查)08007C - 血中寄生蟲檢查 審查原則：(113/1/1)
1.需符合檢查適應症，並有明確臨床需求。
2.應檢附檢查申請單及檢查報告。
3.重複檢查需間隔適當時間，並有明確臨床必要性說明。
4.檢查結果應詳細記錄於病歷。"
08008C,30,19950301,29101231,Reticulocyte count,網狀紅血球計數,null
08009C,30,19950301,29101231,RBC morphology,紅血球形態,null
08010C,30,19950301,29101231,Eosinophil count,嗜酸性白血球計算,null
08011C,200,19950501,29101231,"CBC-I(WBC,RBC,HB,HCT,PLATELET COUNT,MCV,MCH,MCHC)",全套血液檢查Ｉ（八項）,"(檢查)08011C - 全套血液檢查Ｉ（八項） 審查原則：(113/1/1)
1.需符合檢查適應症，並有明確臨床需求。
2.應檢附檢查申請單及檢查報告。
3.重複檢查需間隔適當時間，並有明確臨床必要性說明。
4.檢查結果應詳細記錄於病歷。"
08012C,130,19950501,29101231,CBC-Ⅱ(WBC、RBC、Hb、Hct、MCV、MCH、MCHC）,全套血液檢查Ⅱ(七項）,"(檢查)08012C - 全套血液檢查Ⅱ(七項） 審查原則：(113/1/1)
1.需符合檢查適應症，並有明確臨床需求。
2.應檢附檢查申請單及檢查報告。
3.重複檢查需間隔適當時間，並有明確臨床必要性說明。
4.檢查結果應詳細記錄於病歷。"
08013C,70,19950301,29101231,WBC differential count,白血球分類計數,依據「全民健康保險醫療服務給付項目及支付標準」，本項為白血球分類計數。通常與「全套血液檢查(CBC)」合併執行，以利完整判讀。若單獨申報，病歷應載明特殊臨床需要。
08014C,50,19950301,29101231,Blood routine,血液一般檢查（白血球，紅血球及血色素）,依據「全民健康保險醫療服務給付項目及支付標準」，本項為血液常規檢查，包含白血球(WBC)、紅血球(RBC)及血色素(Hb)三項。若同時執行全套血液檢查(CBC)，應申報 CBC 相關代碼。
08015C,100,20120101,29101231,LE cell preparation (Lupus-Erythromatosus),紅斑性狼瘡細胞,null
08016C,120,20040701,29101231,LE factor,紅斑性狼瘡因子,null
08018C,30,19950301,29101231,Bleeding time (Duke method),出血時間,null
08019C,150,19950301,29101231,Bleeding time (Ivy method),出血時間,null
08020C,40,19950301,29101231,"Clotting time, coagulation time(Lee-White method)",凝血時間,null
08021C,40,19950301,29101231,Clot retraction test,血塊收縮試驗,null
08026C,150,20040701,29101231,Prothrombin time,凝血酶原時間 (一段式),null
08030C,300,20100101,29101231,Hb electrophoresis,血紅素電泳,依據「全民健康保險醫療服務給付項目及支付標準」，本項為血紅素電泳分析。主要用於診斷各種血紅素病變，如海洋性貧血(Thalassemia)或鐮狀細胞貧血症。申報本項目前，通常需有 CBC 結果異常 (如 MCV 過低) 或有相關家族史作為支持。
08035C,90,20040701,29101231,Plasma clotting time,血漿凝固時間,null
08036C,180,20200901,29101231,APTT (activated partial thromboplastin time),部分凝血活酶時間,null
08042C,100,20060401,29101231,B.M. iron stain,骨髓鐵染色,依據「全民健康保險醫療服務給付項目及支付標準」，本項為骨髓鐵染色(B.M. iron stain)。主要用於評估體內鐵儲存狀況，是診斷缺鐵性貧血或鐵質沉積症的重要檢查。需配合骨髓穿刺檢查申報。
08043C,80,20060401,29101231,B.M. Sudan black B stain,蘇丹Ｂ染色,null
08075C,150,20120101,29101231,Blood osmolality,血液滲透壓,null
08082C,90,19960701,29101231,CBC-Ⅲ(WBC、RBC、HB、HCT、MCV）,全套血液檢查 III(五項）,"(檢查)08082C - 全套血液檢查 III(五項） 審查原則：(113/1/1)
1.需符合檢查適應症，並有明確臨床需求。
2.應檢附檢查申請單及檢查報告。
3.重複檢查需間隔適當時間，並有明確臨床必要性說明。
4.檢查結果應詳細記錄於病歷。"
08083C,20,20031201,29101231,MCH,平均紅血球血紅素量,null
08084C,20,20031201,29101231,MCHC,平均紅血球血紅素濃度,null
08127C,20,20031201,29101231,MCV,平均紅血球容積,null
08129C,160,20040701,29101231,,胰島素血清檢驗,"(檢查)08129C - 胰島素血清檢驗 審查原則：(113/1/1)
1.需符合檢查適應症，並有明確臨床需求。
2.應檢附檢查申請單及檢查報告。
3.重複檢查需間隔適當時間，並有明確臨床必要性說明。
4.檢查結果應詳細記錄於病歷。"
08130C,325,20040701,29101231,Bone-alkaline phosphatase,骨質特異性鹼性磷酸酶,null
08131C,367,20080501,29101231,Platelet function closure time-Col/Epi,血小板功能閉鎖時間-膠原蛋白/腎上腺素,null
08132C,367,20080501,29101231,Platelet function closure time-Col/ADP,血小板功能閉鎖時間-膠原蛋白/二磷酸腺苷酸,null
09001C,70,19950301,29101231,"Cholestero1, total",總膽固醇,null
09002C,40,19950301,29101231,"BUN, blood urea nitrogen",血中尿素氮,null
09003C,40,20040701,29101231,Urea-N (urine),尿素氮、尿,null
09004C,120,20040701,29101231,Triglyceride (TG),三酸甘油脂,null
09005C,50,20240301,29101231,"Glucose-Ante Cibum, AC",血液及體液葡萄糖-空腹,null
09006C,200,20120101,29101231,HbA1c (Hemoglobin A1c),醣化血紅素,null
09009C,280,20120101,29101231,T3 Uptake Ratio,三碘甲狀腺原氨酸攝取率,null
09010C,280,19950301,29101231,T4,四碘甲狀腺素生化法,null
09011C,40,19950301,29101231,Ca (Calcium),鈣,null
09012C,40,19950301,29101231,P (Phosphoras),磷,null
09013C,40,19950301,29101231,Uric acid,尿酸,null
09014C,40,19950301,29101231,Creatin,肌氨酸,null
09015C,40,19950301,29101231,Creatinine (B) CRTN,肌酸酐、血,null
09016C,40,20040701,29101231,Creatinine (U) CRTN,肌酐、尿,null
09017C,50,19950301,29101231,Amylase (B),澱粉脢、血,null
09020C,90,20040701,29101231,Fe (Iron-bound),鐵,null
09021C,40,19950301,29101231,Na (Sodium),鈉,null
09022C,40,19950301,29101231,K(Potassium),鉀,null
09023C,40,19950301,29101231,Cl (Chloride),氯,null
09024C,80,19950301,29101231,Carbon dioxide,二氧化碳,null
09025C,50,20120101,29101231,S-GOT/AST,血清麩胺酸苯醋酸轉氨基脢,null
09026C,50,20120101,29101231,S-GPT/ALT,血清麩胺酸丙酮酸轉氨基脢,null
09027C,50,20040701,29101231,Alkaline phosphatase,鹼性磷酯酶,null
09028C,50,19950301,29101231,Acid phosphatase,酸性磷酯酶,null
09029C,50,19950301,29101231,Bilirubin total,膽紅素總量,null
09030C,40,19950301,29101231,Bilirubin direct,直接膽紅素,null
09031C,70,19950301,29101231,r-GT(r-glutamyl transferase),麩胺轉酸脢,null
09032C,70,19950301,29101231,CPK(Creatine-phospho-kinase),肌酸磷化脢,null
09033C,60,19950301,29101231,LDH(Lactic dehydrogenase),乳酸脫氫脢,null
09035C,270,20120101,29101231,TIBC(Total Iron Binding Capacity),總鐵結合能力,null
09037C,200,20040701,29101231,Blood ammonia,血氨,null
09038C,40,19950301,29101231,Albumin,白蛋白,null
09039C,40,19950301,29101231,Globubin,球蛋白,null
09040C,40,19950301,29101231,Total protein,全蛋白,null
09042C,240,20040701,29101231,P.A.P. (Prostatic acid phoshpatase),攝護腺酸性磷酸酶,null
09043C,200,20120101,29101231,HDL-C (highdensity lipoprotein cholesterol),高密度脂蛋白－膽固醇,null
09044C,250,20120101,29101231,LDL-C (Lowdensity lipoprotein cholesterol),低密度脂蛋白－膽固醇,null
09051C,250,20040701,29101231,G-6-P-D (Glucose-6-phosphate-dehydrogenase),葡萄糖六磷酸脫氫酶,null
09064C,150,20040701,29101231,Lipase,解脂酶,null
09071C,150,20120101,29101231,CK-MB (Creatine phosphokinase-MB),肌酸磷酸酶(MB同功酶),null
09079C,30,19950301,29101231,T.T.T.,麝香混濁反應,null
09080C,30,19950301,29101231,Z.T.T.,硫酸鋅混濁反應,null
09081C,40,19950301,29101231,N.P.N.,殘餘氯定量,null
09085C,70,19950301,29101231,Leucine aminopeptidase(LAP),白胺酸胺脢,null
09086C,100,19950301,29101231,NAG (N-acetyl-β-D-glucosaminidase),Ｎ－乙醯胺基葡萄糖甘脢,null
09099C,450,20200101,29101231,Troponin I,心肌旋轉蛋白Ｉ,null
09103C,120,20031201,29101231,Insulin (EIA/LIA),胰島素免疫分析,null
09104C,200,20031201,29101231,HPL (EIA/LIA),胎盤生乳激素免疫分析,null
09105C,200,20031201,29101231,Progesteron (EIA/LIA),黃體脂酮免疫分析,null
09106C,200,20031201,29101231,Free T4 (EIA/LIA),游離甲狀腺素免疫分析,null
09107C,200,20031201,29101231,Free T3 (EIA/LIA),游離三碘甲狀腺素免疫分析,null
09108C,200,20031201,29101231,"GH (Growth hormon), EIA/LIA",生長激素免疫分析,null
09109C,200,20031201,29101231,17-OHP (EIA/LIA),17-氫氧基黃體脂酮免疫分析,null
09111C,90,20170501,29101231,Thyroglobulin (EIA/LIA),甲狀腺球蛋白,null
09112C,240,20110101,29101231,TSH(EIA/LIA),甲狀腺刺激素免疫分析,null
09113C,240,20200101,29101231,Cortisol (EIA/LIA),皮質素免疫分析,null
09117C,250,20140201,29101231,T3 (EIA/LIA),甲狀腺原氨酸免疫分析,null
09120C,150,20040701,29101231,"Prolactin (PRL), EIA/LIA",催乳激素免疫分析,null
09121C,150,20140201,29101231,Testosterone (EIA/LIA),睪丸酯醇免疫分析,null
09122C,360,20170501,29101231,Intact parathyrin (EIA/LIA),Intact副甲狀腺素免疫分析,null
09125C,180,20040701,29101231,FSH (EIA/LIA),濾泡刺激素免疫分析,null
09126C,180,20040701,29101231,LH (EIA/LIA),黃體化激素免疫分析,null
09127C,180,20080101,29101231,"Estradiol (E2), EIA/LIA",二氫基春情素免疫分析,null
09128C,180,20170501,29101231,C-peptide (EIA/LIA),C-胜鏈胰島素免疫分析,null
09129C,180,20200101,29101231,VIT-B12 (EIA/LIA),維生素B12免疫分析,null
09130C,180,20200901,29101231,Folic acid (EIA/LIA),葉酸免疫分析,null
09131C,180,20040701,29101231,"Estriol (E3), EIA/LIA",春情素醇酵素免疫分析,null
09134C,80,20120101,29101231,Stool occult blood (iFOB),糞便潛血免疫分析,null
09138C,90,20140101,29101231,Direct Bilirubin/Total Bilirubin Ratio,直接及總膽紅素比值,null
09139C,200,20220301,29101231,,醣化白蛋白(GA),null
09140C,50,20240301,29101231,"Glucose-Post Cibum, PC",血液及體液葡萄糖-餐後,null
10501C,320,20120101,29101231,Carbamazepine,卡巴馬平,null
10510C,320,20120101,29101231,Valproic acid,發爾波克,null
10511C,320,20040701,29101231,Digoxin,長葉毛地黃,null
10520C,150,20120101,29101231,Li(Lithium),鋰鹽,null
10537C,1600,20040701,29101231,Sirolimus,Sirolimus 全血濃度測定,null
10819C,240,20120101,29101231,Rodenticide test,殺鼠藥分析,null
11001C,30,20120101,29101231,A.B.AB.O blood grouping,ABO血型測定檢驗,"(檢查)11001C - ABO血型測定檢驗 審查原則：(113/1/1)
1.需符合檢查適應症，並有明確臨床需求。
2.應檢附檢查申請單及檢查報告。
3.重複檢查需間隔適當時間，並有明確臨床必要性說明。
4.檢查結果應詳細記錄於病歷。"
11002C,200,19950301,29101231,Crossmatching test,交叉配合試驗,null
11003C,90,20120101,29101231,,RH（D）型檢驗,"(檢查)11003C - RH（D）型檢驗 審查原則：(113/1/1)
1.需符合檢查適應症，並有明確臨床需求。
2.應檢附檢查申請單及檢查報告。
3.重複檢查需間隔適當時間，並有明確臨床必要性說明。
4.檢查結果應詳細記錄於病歷。"
11004C,100,19950301,29101231,Antibody screening,不規則抗體篩檢,null
12001C,70,20120101,29101231,RPR/VDRL test,梅毒試驗,null
12003C,150,19950301,29101231,"ASLO, anti-streptolysin-O test",抗鏈球菌溶血素Ｏ效價測定—溶血抑制法,null
12004C,275,20040701,29101231,"ASLO, anti-streptolysin-O test -Nephelometry",抗鏈球菌溶血素O 效價測定－ 免疫比濁法,null
12007C,200,20120101,29101231,AFP α-fetoprotein（EIA/LIA）,α－胎兒蛋白檢驗,"(檢查)12007C - α－胎兒蛋白檢驗 審查原則：(113/1/1)
1.需符合檢查適應症，並有明確臨床需求。
2.應檢附檢查申請單及檢查報告。
3.重複檢查需間隔適當時間，並有明確臨床必要性說明。
4.檢查結果應詳細記錄於病歷。"
12009C,90,20120101,29101231,Rheumatoid factor test - Latex agglutination,類風濕性關節炎因子試驗-乳膠凝集法,null
12010C,130,20120101,29101231,Rheumatoid factor test - PHA(passive hemagglutination),類風濕性關節炎因子試驗—被動血球凝集法,null
12011C,275,20120101,29101231,Rheumatoid factor test - Nephelometry,類風濕性關節炎因子試驗－免疫比濁法,null
12013C,90,19950301,29101231,C.R.P (C-reactive protein) - Latex agglutination,Ｃ反應性蛋白試驗—乳膠凝集法,null
12014C,150,20040701,29101231,C.R.P (C-reactive protein) - Macinni immunodifusion,Ｃ反應性蛋白試驗 －  免疫擴散法,null
12015C,275,20040701,29101231,C.R.P (C-reactive protein) - Nephelometry,Ｃ反應性蛋白試驗 －  免疫比濁法,null
12016C,260,20120101,29101231,Chlamydia trachomatis Ag -EIA,砂眼披衣菌抗原－酵素免疫法,null
12018C,300,20120101,29101231,TPPA/TPHA test,梅毒螺旋體抗體試驗,null
12020C,225,20170501,29101231,Mycoplasma pneumonia Ab test,肺炎黴漿菌抗體試驗,null
